Title,"Academic staff (excluding atypical) by age group, disability status, ethnicity, nationality, sex, contract level and country of HE provider",,,,
Nationality,European Union,Wales,Total,2019/20,1115
Nationality,European Union,All,Other contract level,2019/20,34460
Nationality,European Union,All,Other senior academic,2019/20,470
Nationality,European Union,All,Professor,2019/20,3480
Nationality,European Union,All,Total,2019/20,38410
Nationality,European Union,England,Other contract level,2020/21,27530
Nationality,European Union,England,Other senior academic,2020/21,380
Nationality,European Union,England,Professor,2020/21,2935
Nationality,European Union,England,Total,2020/21,30845
Nationality,European Union,Northern Ireland,Other contract level,2020/21,1050
Nationality,European Union,Northern Ireland,Other senior academic,2020/21,55
Nationality,European Union,Northern Ireland,Professor,2020/21,130
Nationality,European Union,Northern Ireland,Total,2020/21,1235
Nationality,European Union,Scotland,Other contract level,2020/21,4630
Nationality,European Union,Scotland,Other senior academic,2020/21,50
Nationality,European Union,Scotland,Professor,2020/21,370
Nationality,European Union,Scotland,Total,2020/21,5050
Nationality,European Union,Wales,Other contract level,2020/21,980
Nationality,European Union,Wales,Other senior academic,2020/21,10
Nationality,European Union,Wales,Professor,2020/21,110
Nationality,European Union,Wales,Total,2020/21,1100
Nationality,European Union,All,Other contract level,2020/21,34185
Nationality,European Union,All,Other senior academic,2020/21,495
Nationality,European Union,All,Professor,2020/21,3545
Nationality,European Union,All,Total,2020/21,38230
Nationality,European Union,England,Other contract level,2021/22,27160
Nationality,European Union,England,Other senior academic,2021/22,410
Nationality,European Union,England,Professor,2021/22,3085
Nationality,European Union,England,Total,2021/22,30655
Nationality,European Union,Northern Ireland,Other contract level,2021/22,1055
Nationality,European Union,Northern Ireland,Other senior academic,2021/22,55
Nationality,European Union,Northern Ireland,Professor,2021/22,145
Nationality,European Union,Northern Ireland,Total,2021/22,1250
Nationality,European Union,Scotland,Other contract level,2021/22,4545
Nationality,European Union,Scotland,Other senior academic,2021/22,55
Nationality,European Union,Scotland,Professor,2021/22,395
Nationality,European Union,Scotland,Total,2021/22,4995
Nationality,European Union,Wales,Other contract level,2021/22,970
Nationality,European Union,Wales,Other senior academic,2021/22,10
Nationality,European Union,Wales,Professor,2021/22,115
Nationality,European Union,Wales,Total,2021/22,1095
Nationality,European Union,All,Other contract level,2021/22,33730
Nationality,European Union,All,Other senior academic,2021/22,525
Nationality,European Union,All,Professor,2021/22,3740
Nationality,European Union,All,Total,2021/22,37995
Nationality,Non-European Union,England,Other contract level,2017/18,21255
Nationality,Non-European Union,England,Other senior academic,2017/18,245
Nationality,Non-European Union,England,Professor,2017/18,1515
Nationality,Non-European Union,England,Total,2017/18,23015
Nationality,Non-European Union,Northern Ireland,Other contract level,2017/18,335
Nationality,Non-European Union,Northern Ireland,Other senior academic,2017/18,5
Nationality,Non-European Union,Northern Ireland,Professor,2017/18,20
Nationality,Non-European Union,Northern Ireland,Total,2017/18,360
Nationality,Non-European Union,Scotland,Other contract level,2017/18,3155
Nationality,Non-European Union,Scotland,Other senior academic,2017/18,25
Nationality,Non-European Union,Scotland,Professor,2017/18,205
Nationality,Non-European Union,Scotland,Total,2017/18,3385
Nationality,Non-European Union,Wales,Other contract level,2017/18,795
Nationality,Non-European Union,Wales,Other senior academic,2017/18,10
Nationality,Non-European Union,Wales,Professor,2017/18,60
Nationality,Non-European Union,Wales,Total,2017/18,865
Nationality,Non-European Union,All,Other contract level,2017/18,25540
Nationality,Non-European Union,All,Other senior academic,2017/18,280
Nationality,Non-European Union,All,Professor,2017/18,1800
Nationality,Non-European Union,All,Total,2017/18,27625
Nationality,Non-European Union,England,Other contract level,2018/19,22750
Nationality,Non-European Union,England,Other senior academic,2018/19,235
Nationality,Non-European Union,England,Professor,2018/19,1615
Nationality,Non-European Union,England,Total,2018/19,24595
Nationality,Non-European Union,Northern Ireland,Other contract level,2018/19,375
Nationality,Non-European Union,Northern Ireland,Other senior academic,2018/19,10
Nationality,Non-European Union,Northern Ireland,Professor,2018/19,25
Nationality,Non-European Union,Northern Ireland,Total,2018/19,405
Nationality,Non-European Union,Scotland,Other contract level,2018/19,3360
Nationality,Non-European Union,Scotland,Other senior academic,2018/19,25
Nationality,Non-European Union,Scotland,Professor,2018/19,220
Nationality,Non-European Union,Scotland,Total,2018/19,3600
Nationality,Non-European Union,Wales,Other contract level,2018/19,895
Nationality,Non-European Union,Wales,Other senior academic,2018/19,10
Nationality,Non-European Union,Wales,Professor,2018/19,60
Nationality,Non-European Union,Wales,Total,2018/19,965
Nationality,Non-European Union,All,Other contract level,2018/19,27380
Nationality,Non-European Union,All,Other senior academic,2018/19,275
Nationality,Non-European Union,All,Professor,2018/19,1915
Nationality,Non-European Union,All,Total,2018/19,29565
Nationality,Non-European Union,England,Other contract level,2019/20,24300
Nationality,Non-European Union,England,Other senior academic,2019/20,240
Nationality,Non-European Union,England,Professor,2019/20,1770
Nationality,Non-European Union,England,Total,2019/20,26305
Nationality,Non-European Union,Northern Ireland,Other contract level,2019/20,445
Nationality,Non-European Union,Northern Ireland,Other senior academic,2019/20,5
Nationality,Non-European Union,Northern Ireland,Professor,2019/20,30
Nationality,Non-European Union,Northern Ireland,Total,2019/20,475
Nationality,Non-European Union,Scotland,Other contract level,2019/20,3705
Nationality,Non-European Union,Scotland,Other senior academic,2019/20,20
Nationality,Non-European Union,Scotland,Professor,2019/20,235
Nationality,Non-European Union,Scotland,Total,2019/20,3965
Nationality,Non-European Union,Wales,Other contract level,2019/20,970
Nationality,Non-European Union,Wales,Other senior academic,2019/20,5
Nationality,Non-European Union,Wales,Professor,2019/20,65
Nationality,Non-European Union,Wales,Total,2019/20,1040
Nationality,Non-European Union,All,Other contract level,2019/20,29420
Nationality,Non-European Union,All,Other senior academic,2019/20,270
Nationality,Non-European Union,All,Professor,2019/20,2100
Nationality,Non-European Union,All,Total,2019/20,31785
Nationality,Non-European Union,England,Other contract level,2020/21,25270
Nationality,Non-European Union,England,Other senior academic,2020/21,245
Nationality,Non-European Union,England,Professor,2020/21,1815
Nationality,Non-European Union,England,Total,2020/21,27335
Nationality,Non-European Union,Northern Ireland,Other contract level,2020/21,455
Nationality,Non-European Union,Northern Ireland,Other senior academic,2020/21,10
Nationality,Non-European Union,Northern Ireland,Professor,2020/21,30
Nationality,Non-European Union,Northern Ireland,Total,2020/21,490
Nationality,Non-European Union,Scotland,Other contract level,2020/21,4070
Nationality,Non-European Union,Scotland,Other senior academic,2020/21,25
Nationality,Non-European Union,Scotland,Professor,2020/21,260
Nationality,Non-European Union,Scotland,Total,2020/21,4355
Nationality,Non-European Union,Wales,Other contract level,2020/21,1020
Nationality,Non-European Union,Wales,Other senior academic,2020/21,5
Nationality,Non-European Union,Wales,Professor,2020/21,65
Nationality,Non-European Union,Wales,Total,2020/21,1090
Nationality,Non-European Union,All,Other contract level,2020/21,30815
Nationality,Non-European Union,All,Other senior academic,2020/21,290
Nationality,Non-European Union,All,Professor,2020/21,2165
Nationality,Non-European Union,All,Total,2020/21,33270
Nationality,Non-European Union,England,Other contract level,2021/22,27630
Nationality,Non-European Union,England,Other senior academic,2021/22,260
Nationality,Non-European Union,England,Professor,2021/22,1910
Nationality,Non-European Union,England,Total,2021/22,29795
Nationality,Non-European Union,Northern Ireland,Other contract level,2021/22,490
Nationality,Non-European Union,Northern Ireland,Other senior academic,2021/22,5
Nationality,Non-European Union,Northern Ireland,Professor,2021/22,25
Nationality,Non-European Union,Northern Ireland,Total,2021/22,520
Nationality,Non-European Union,Scotland,Other contract level,2021/22,4400
Nationality,Non-European Union,Scotland,Other senior academic,2021/22,25
Nationality,Non-European Union,Scotland,Professor,2021/22,270
Nationality,Non-European Union,Scotland,Total,2021/22,4700
Nationality,Non-European Union,Wales,Other contract level,2021/22,1025
Nationality,Non-European Union,Wales,Other senior academic,2021/22,5
Nationality,Non-European Union,Wales,Professor,2021/22,70
Nationality,Non-European Union,Wales,Total,2021/22,1100
Nationality,Non-European Union,All,Other contract level,2021/22,33545
Nationality,Non-European Union,All,Other senior academic,2021/22,295
Nationality,Non-European Union,All,Professor,2021/22,2275
Nationality,Non-European Union,All,Total,2021/22,36115
Nationality,Not known,England,Other contract level,2017/18,1305
Nationality,Not known,England,Other senior academic,2017/18,20
Nationality,Not known,England,Professor,2017/18,100
Nationality,Not known,England,Total,2017/18,1420
Nationality,Not known,Northern Ireland,Other contract level,2017/18,10
Nationality,Not known,Northern Ireland,Other senior academic,2017/18,0
Nationality,Not known,Northern Ireland,Professor,2017/18,0
Nationality,Not known,Northern Ireland,Total,2017/18,10
Nationality,Not known,Scotland,Other contract level,2017/18,35
Nationality,Not known,Scotland,Other senior academic,2017/18,0
Nationality,Not known,Scotland,Professor,2017/18,0
Nationality,Not known,Scotland,Total,2017/18,35
Nationality,Not known,Wales,Other contract level,2017/18,70
Nationality,Not known,Wales,Other senior academic,2017/18,0
Nationality,Not known,Wales,Professor,2017/18,5
Nationality,Not known,Wales,Total,2017/18,75
Nationality,Not known,All,Other contract level,2017/18,1415
Nationality,Not known,All,Other senior academic,2017/18,20
Nationality,Not known,All,Professor,2017/18,105
Nationality,Not known,All,Total,2017/18,1540
Nationality,Not known,England,Other contract level,2018/19,1210
Nationality,Not known,England,Other senior academic,2018/19,20
Nationality,Not known,England,Professor,2018/19,90
Nationality,Not known,England,Total,2018/19,1325
Nationality,Not known,Northern Ireland,Other contract level,2018/19,10
Nationality,Not known,Northern Ireland,Other senior academic,2018/19,0
Nationality,Not known,Northern Ireland,Professor,2018/19,0
Nationality,Not known,Northern Ireland,Total,2018/19,10
Nationality,Not known,Scotland,Other contract level,2018/19,50
Nationality,Not known,Scotland,Other senior academic,2018/19,0
Nationality,Not known,Scotland,Professor,2018/19,0
Nationality,Not known,Scotland,Total,2018/19,50
Nationality,Not known,Wales,Other contract level,2018/19,60
Nationality,Not known,Wales,Other senior academic,2018/19,0
Nationality,Not known,Wales,Professor,2018/19,0
Nationality,Not known,Wales,Total,2018/19,65
Nationality,Not known,All,Other contract level,2018/19,1330
Nationality,Not known,All,Other senior academic,2018/19,20
Nationality,Not known,All,Professor,2018/19,95
Nationality,Not known,All,Total,2018/19,1450
Nationality,Not known,England,Other contract level,2019/20,1330
Nationality,Not known,England,Other senior academic,2019/20,20
Nationality,Not known,England,Professor,2019/20,105
Nationality,Not known,England,Total,2019/20,1455
Nationality,Not known,Northern Ireland,Other contract level,2019/20,10
Nationality,Not known,Northern Ireland,Other senior academic,2019/20,0
Nationality,Not known,Northern Ireland,Professor,2019/20,0
Nationality,Not known,Northern Ireland,Total,2019/20,15
Nationality,Not known,Scotland,Other contract level,2019/20,55
Nationality,Not known,Scotland,Other senior academic,2019/20,5
Nationality,Not known,Scotland,Professor,2019/20,0
Nationality,Not known,Scotland,Total,2019/20,60
Nationality,Not known,Wales,Other contract level,2019/20,50
Nationality,Not known,Wales,Other senior academic,2019/20,0
Nationality,Not known,Wales,Professor,2019/20,5
Nationality,Not known,Wales,Total,2019/20,55
Nationality,Not known,All,Other contract level,2019/20,1450
Nationality,Not known,All,Other senior academic,2019/20,25
Nationality,Not known,All,Professor,2019/20,110
Nationality,Not known,All,Total,2019/20,1585
Nationality,Not known,England,Other contract level,2020/21,1360
Nationality,Not known,England,Other senior academic,2020/21,25
Nationality,Not known,England,Professor,2020/21,105
Nationality,Not known,England,Total,2020/21,1490
Nationality,Not known,Northern Ireland,Other contract level,2020/21,10
Nationality,Not known,Northern Ireland,Other senior academic,2020/21,0
Nationality,Not known,Northern Ireland,Professor,2020/21,0
Nationality,Not known,Northern Ireland,Total,2020/21,15
Nationality,Not known,Scotland,Other contract level,2020/21,60
Nationality,Not known,Scotland,Other senior academic,2020/21,5
Nationality,Not known,Scotland,Professor,2020/21,0
Nationality,Not known,Scotland,Total,2020/21,65
Nationality,Not known,Wales,Other contract level,2020/21,65
Nationality,Not known,Wales,Other senior academic,2020/21,0
Nationality,Not known,Wales,Professor,2020/21,0
Nationality,Not known,Wales,Total,2020/21,70
Nationality,Not known,All,Other contract level,2020/21,1500
Nationality,Not known,All,Other senior academic,2020/21,25
Nationality,Not known,All,Professor,2020/21,110
Nationality,Not known,All,Total,2020/21,1635
Nationality,Not known,England,Other contract level,2021/22,1545
Nationality,Not known,England,Other senior academic,2021/22,25
Nationality,Not known,England,Professor,2021/22,130
Nationality,Not known,England,Total,2021/22,1700
Nationality,Not known,Northern Ireland,Other contract level,2021/22,15
Nationality,Not known,Northern Ireland,Other senior academic,2021/22,0
Nationality,Not known,Northern Ireland,Professor,2021/22,5
Nationality,Not known,Northern Ireland,Total,2021/22,15
Nationality,Not known,Scotland,Other contract level,2021/22,185
Nationality,Not known,Scotland,Other senior academic,2021/22,0
Nationality,Not known,Scotland,Professor,2021/22,0
Nationality,Not known,Scotland,Total,2021/22,190
Nationality,Not known,Wales,Other contract level,2021/22,125
Nationality,Not known,Wales,Other senior academic,2021/22,0
Nationality,Not known,Wales,Professor,2021/22,0
Nationality,Not known,Wales,Total,2021/22,125
Nationality,Not known,All,Other contract level,2021/22,1870
Nationality,Not known,All,Other senior academic,2021/22,25
Nationality,Not known,All,Professor,2021/22,135
Nationality,Not known,All,Total,2021/22,2030
Sex,Female,England,Other contract level,2017/18,74445
Sex,Female,England,Other senior academic,2017/18,1910
Sex,Female,England,Professor,2017/18,4405
Sex,Female,England,Total,2017/18,80760
Sex,Female,Northern Ireland,Other contract level,2017/18,1285
Sex,Female,Northern Ireland,Other senior academic,2017/18,40
Sex,Female,Northern Ireland,Professor,2017/18,85
Sex,Female,Northern Ireland,Total,2017/18,1410
Sex,Female,Scotland,Other contract level,2017/18,9505
Sex,Female,Scotland,Other senior academic,2017/18,185
Sex,Female,Scotland,Professor,2017/18,580
Sex,Female,Scotland,Total,2017/18,10270
Sex,Female,Wales,Other contract level,2017/18,4375
Sex,Female,Wales,Other senior academic,2017/18,110
Sex,Female,Wales,Professor,2017/18,275
Sex,Female,Wales,Total,2017/18,4760
Sex,Female,All,Other contract level,2017/18,89610
Sex,Female,All,Other senior academic,2017/18,2245
Sex,Female,All,Professor,2017/18,5345
Sex,Female,All,Total,2017/18,97200
Sex,Female,England,Other contract level,2018/19,76540
Sex,Female,England,Other senior academic,2018/19,1960
Sex,Female,England,Professor,2018/19,4810
Sex,Female,England,Total,2018/19,83315
Sex,Female,Northern Ireland,Other contract level,2018/19,1350
Sex,Female,Northern Ireland,Other senior academic,2018/19,55
Sex,Female,Northern Ireland,Professor,2018/19,90
Sex,Female,Northern Ireland,Total,2018/19,1500
Sex,Female,Scotland,Other contract level,2018/19,9890
Sex,Female,Scotland,Other senior academic,2018/19,195
Sex,Female,Scotland,Professor,2018/19,625
Sex,Female,Scotland,Total,2018/19,10710
Sex,Female,Wales,Other contract level,2018/19,4490
Sex,Female,Wales,Other senior academic,2018/19,135
Sex,Female,Wales,Professor,2018/19,225
Sex,Female,Wales,Total,2018/19,4845
Sex,Female,All,Other contract level,2018/19,92275
Sex,Female,All,Other senior academic,2018/19,2345
Sex,Female,All,Professor,2018/19,5750
Sex,Female,All,Total,2018/19,100365
Sex,Female,England,Other contract level,2019/20,79610
Sex,Female,England,Other senior academic,2019/20,2020
Sex,Female,England,Professor,2019/20,5290
Sex,Female,England,Total,2019/20,86920
Sex,Female,Northern Ireland,Other contract level,2019/20,1390
Sex,Female,Northern Ireland,Other senior academic,2019/20,60
Sex,Female,Northern Ireland,Professor,2019/20,100
Sex,Female,Northern Ireland,Total,2019/20,1550
Sex,Female,Scotland,Other contract level,2019/20,10155
Sex,Female,Scotland,Other senior academic,2019/20,195
Sex,Female,Scotland,Professor,2019/20,705
Sex,Female,Scotland,Total,2019/20,11055
Sex,Female,Wales,Other contract level,2019/20,4420
Sex,Female,Wales,Other senior academic,2019/20,115
Sex,Female,Wales,Professor,2019/20,250
Sex,Female,Wales,Total,2019/20,4785
Sex,Female,All,Other contract level,2019/20,95570
Sex,Female,All,Other senior academic,2019/20,2390
Sex,Female,All,Professor,2019/20,6345
Sex,Female,All,Total,2019/20,104305
Sex,Female,England,Other contract level,2020/21,80240
Sex,Female,England,Other senior academic,2020/21,2115
Sex,Female,England,Professor,2020/21,5410
Sex,Female,England,Total,2020/21,87765
Sex,Female,Northern Ireland,Other contract level,2020/21,1330
Sex,Female,Northern Ireland,Other senior academic,2020/21,75
Sex,Female,Northern Ireland,Professor,2020/21,105
Sex,Female,Northern Ireland,Total,2020/21,1515
Sex,Female,Scotland,Other contract level,2020/21,10460
Sex,Female,Scotland,Other senior academic,2020/21,215
Sex,Female,Scotland,Professor,2020/21,735
Sex,Female,Scotland,Total,2020/21,11410
Sex,Female,Wales,Other contract level,2020/21,4395
Sex,Female,Wales,Other senior academic,2020/21,100
Sex,Female,Wales,Professor,2020/21,255
Sex,Female,Wales,Total,2020/21,4755
Sex,Female,All,Other contract level,2020/21,96420
Sex,Female,All,Other senior academic,2020/21,2515
Sex,Female,All,Professor,2020/21,6510
Sex,Female,All,Total,2020/21,105440
Sex,Female,England,Other contract level,2021/22,85295
Sex,Female,England,Other senior academic,2021/22,2235
Sex,Female,England,Professor,2021/22,5805
Sex,Female,England,Total,2021/22,93335
Sex,Female,Northern Ireland,Other contract level,2021/22,1560
Sex,Female,Northern Ireland,Other senior academic,2021/22,70
Sex,Female,Northern Ireland,Professor,2021/22,120
Sex,Female,Northern Ireland,Total,2021/22,1745
Sex,Female,Scotland,Other contract level,2021/22,10990
Sex,Female,Scotland,Other senior academic,2021/22,220
Sex,Female,Scotland,Professor,2021/22,775
Sex,Female,Scotland,Total,2021/22,11985
Sex,Female,Wales,Other contract level,2021/22,4480
Sex,Female,Wales,Other senior academic,2021/22,100
Sex,Female,Wales,Professor,2021/22,280
Sex,Female,Wales,Total,2021/22,4855
Sex,Female,All,Other contract level,2021/22,102325
Sex,Female,All,Other senior academic,2021/22,2620
Sex,Female,All,Professor,2021/22,6980
Sex,Female,All,Total,2021/22,111925
Sex,Male,England,Other contract level,2017/18,78925
Sex,Male,England,Other senior academic,2017/18,3270
Sex,Male,England,Professor,2017/18,12740
Sex,Male,England,Total,2017/18,94930
Sex,Male,Northern Ireland,Other contract level,2017/18,1440
Sex,Male,Northern Ireland,Other senior academic,2017/18,90
Sex,Male,Northern Ireland,Professor,2017/18,230
Sex,Male,Northern Ireland,Total,2017/18,1760
Sex,Male,Scotland,Other contract level,2017/18,10425
Sex,Male,Scotland,Other senior academic,2017/18,365
Sex,Male,Scotland,Professor,2017/18,1775
Sex,Male,Scotland,Total,2017/18,12560
Sex,Male,Wales,Other contract level,2017/18,4435
Sex,Male,Wales,Other senior academic,2017/18,205
Sex,Male,Wales,Professor,2017/18,850
Sex,Male,Wales,Total,2017/18,5490
Sex,Male,All,Other contract level,2017/18,95220
Sex,Male,All,Other senior academic,2017/18,3930
Sex,Male,All,Professor,2017/18,15595
Sex,Male,All,Total,2017/18,114745
Sex,Male,England,Other contract level,2018/19,80370
Sex,Male,England,Other senior academic,2018/19,3160
Sex,Male,England,Professor,2018/19,13000
Sex,Male,England,Total,2018/19,96530
Sex,Male,Northern Ireland,Other contract level,2018/19,1475
Sex,Male,Northern Ireland,Other senior academic,2018/19,120
Sex,Male,Northern Ireland,Professor,2018/19,235
Sex,Male,Northern Ireland,Total,2018/19,1830
Sex,Male,Scotland,Other contract level,2018/19,10735
Sex,Male,Scotland,Other senior academic,2018/19,330
Sex,Male,Scotland,Professor,2018/19,1800
Sex,Male,Scotland,Total,2018/19,12870
Sex,Male,Wales,Other contract level,2018/19,4450
Sex,Male,Wales,Other senior academic,2018/19,230
Sex,Male,Wales,Professor,2018/19,735
Sex,Male,Wales,Total,2018/19,5410
Sex,Male,All,Other contract level,2018/19,97030
Sex,Male,All,Other senior academic,2018/19,3840
Sex,Male,All,Professor,2018/19,15770
Sex,Male,All,Total,2018/19,116640
Sex,Male,England,Other contract level,2019/20,81685
Sex,Male,England,Other senior academic,2019/20,3155
Sex,Male,England,Professor,2019/20,13505
Sex,Male,England,Total,2019/20,98340
Sex,Male,Northern Ireland,Other contract level,2019/20,1595
Sex,Male,Northern Ireland,Other senior academic,2019/20,100
Sex,Male,Northern Ireland,Professor,2019/20,270
Sex,Male,Northern Ireland,Total,2019/20,1965
Sex,Male,Scotland,Other contract level,2019/20,11020
Sex,Male,Scotland,Other senior academic,2019/20,305
Sex,Male,Scotland,Professor,2019/20,1860
Sex,Male,Scotland,Total,2019/20,13190
Sex,Male,Wales,Other contract level,2019/20,4425
Sex,Male,Wales,Other senior academic,2019/20,170
Sex,Male,Wales,Professor,2019/20,775
Sex,Male,Wales,Total,2019/20,5365
Sex,Male,All,Other contract level,2019/20,98725
Sex,Male,All,Other senior academic,2019/20,3725
Sex,Male,All,Professor,2019/20,16415
Sex,Male,All,Total,2019/20,118865
Sex,Male,England,Other contract level,2020/21,81345
Sex,Male,England,Other senior academic,2020/21,3095
Sex,Male,England,Professor,2020/21,13390
Sex,Male,England,Total,2020/21,97830
Sex,Male,Northern Ireland,Other contract level,2020/21,1675
Sex,Male,Northern Ireland,Other senior academic,2020/21,125
Sex,Male,Northern Ireland,Professor,2020/21,270
Sex,Male,Northern Ireland,Total,2020/21,2070
Sex,Male,Scotland,Other contract level,2020/21,11320
Sex,Male,Scotland,Other senior academic,2020/21,325
Sex,Male,Scotland,Professor,2020/21,1875
Sex,Male,Scotland,Total,2020/21,13520
Sex,Male,Wales,Other contract level,2020/21,4355
Sex,Male,Wales,Other senior academic,2020/21,155
Sex,Male,Wales,Professor,2020/21,765
Sex,Male,Wales,Total,2020/21,5275
Sex,Male,All,Other contract level,2020/21,98695
Sex,Male,All,Other senior academic,2020/21,3700
Sex,Male,All,Professor,2020/21,16300
Sex,Male,All,Total,2020/21,118695
Sex,Male,England,Other contract level,2021/22,84045
Sex,Male,England,Other senior academic,2021/22,3100
Sex,Male,England,Professor,2021/22,13595
Sex,Male,England,Total,2021/22,100745
Sex,Male,Northern Ireland,Other contract level,2021/22,1500
Sex,Male,Northern Ireland,Other senior academic,2021/22,125
Sex,Male,Northern Ireland,Professor,2021/22,280
Sex,Male,Northern Ireland,Total,2021/22,1905
Sex,Male,Scotland,Other contract level,2021/22,11510
Sex,Male,Scotland,Other senior academic,2021/22,330
Sex,Male,Scotland,Professor,2021/22,1890
Sex,Male,Scotland,Total,2021/22,13730
Sex,Male,Wales,Other contract level,2021/22,4405
Sex,Male,Wales,Other senior academic,2021/22,155
Sex,Male,Wales,Professor,2021/22,750
Sex,Male,Wales,Total,2021/22,5310
Sex,Male,All,Other contract level,2021/22,101460
Sex,Male,All,Other senior academic,2021/22,3710
Sex,Male,All,Professor,2021/22,16515
Sex,Male,All,Total,2021/22,121690
Sex,Other,England,Other contract level,2017/18,25
Sex,Other,England,Other senior academic,2017/18,0
Sex,Other,England,Professor,2017/18,0
Sex,Other,England,Total,2017/18,25
Sex,Other,Scotland,Other contract level,2017/18,5
Sex,Other,Scotland,Other senior academic,2017/18,0
Sex,Other,Scotland,Professor,2017/18,0
Sex,Other,Scotland,Total,2017/18,5
Sex,Other,Wales,Other contract level,2017/18,5
Sex,Other,Wales,Other senior academic,2017/18,0
Sex,Other,Wales,Professor,2017/18,0
Sex,Other,Wales,Total,2017/18,5
Sex,Other,All,Other contract level,2017/18,30
Sex,Other,All,Other senior academic,2017/18,0
Sex,Other,All,Professor,2017/18,0
Sex,Other,All,Total,2017/18,35
Sex,Other,England,Other contract level,2018/19,50
Sex,Other,England,Other senior academic,2018/19,0
Sex,Other,England,Professor,2018/19,0
Sex,Other,England,Total,2018/19,50
Sex,Other,Scotland,Other contract level,2018/19,5
Sex,Other,Scotland,Other senior academic,2018/19,0
Sex,Other,Scotland,Professor,2018/19,0
Sex,Other,Scotland,Total,2018/19,5
Sex,Other,Wales,Other contract level,2018/19,5
Sex,Other,Wales,Other senior academic,2018/19,0
Sex,Other,Wales,Professor,2018/19,0
Sex,Other,Wales,Total,2018/19,5
Sex,Other,All,Other contract level,2018/19,60
Sex,Other,All,Other senior academic,2018/19,0
Sex,Other,All,Professor,2018/19,5
Sex,Other,All,Total,2018/19,65
Sex,Other,England,Other contract level,2019/20,290
Sex,Other,England,Other senior academic,2019/20,0
Sex,Other,England,Professor,2019/20,50
Sex,Other,England,Total,2019/20,340
Sex,Other,Scotland,Other contract level,2019/20,5
Sex,Other,Scotland,Other senior academic,2019/20,0
Sex,Other,Scotland,Professor,2019/20,0
Sex,Other,Scotland,Total,2019/20,5
Sex,Other,Wales,Other contract level,2019/20,10
Sex,Other,Wales,Other senior academic,2019/20,0
Sex,Other,Wales,Professor,2019/20,0
Sex,Other,Wales,Total,2019/20,15
Sex,Other,All,Other contract level,2019/20,305
Sex,Other,All,Other senior academic,2019/20,0
Sex,Other,All,Professor,2019/20,50
Sex,Other,All,Total,2019/20,355
Sex,Other,England,Other contract level,2020/21,315
Sex,Other,England,Other senior academic,2020/21,5
Sex,Other,England,Professor,2020/21,45
Sex,Other,England,Total,2020/21,370
Sex,Other,Scotland,Other contract level,2020/21,10
Sex,Other,Scotland,Other senior academic,2020/21,0
Sex,Other,Scotland,Professor,2020/21,0
Sex,Other,Scotland,Total,2020/21,10
Sex,Other,Wales,Other contract level,2020/21,10
Sex,Other,Wales,Other senior academic,2020/21,0
Sex,Other,Wales,Professor,2020/21,0
Sex,Other,Wales,Total,2020/21,15
Sex,Other,All,Other contract level,2020/21,340
Sex,Other,All,Other senior academic,2020/21,5
Sex,Other,All,Professor,2020/21,50
Sex,Other,All,Total,2020/21,390
Sex,Other,England,Other contract level,2021/22,225
Sex,Other,England,Other senior academic,2021/22,5
Sex,Other,England,Professor,2021/22,15
Sex,Other,England,Total,2021/22,240
Sex,Other,Scotland,Other contract level,2021/22,55
Sex,Other,Scotland,Other senior academic,2021/22,0
Sex,Other,Scotland,Professor,2021/22,0
Sex,Other,Scotland,Total,2021/22,60
Sex,Other,Wales,Other contract level,2021/22,10
Sex,Other,Wales,Other senior academic,2021/22,0
Sex,Other,Wales,Professor,2021/22,0
Sex,Other,Wales,Total,2021/22,15
Sex,Other,All,Other contract level,2021/22,295
Sex,Other,All,Other senior academic,2021/22,5
Sex,Other,All,Professor,2021/22,20
Sex,Other,All,Total,2021/22,315
Total,Total,England,Other contract level,2017/18,153395
Total,Total,England,Other senior academic,2017/18,5180
Total,Total,England,Professor,2017/18,17145
Total,Total,England,Total,2017/18,175715
Total,Total,Northern Ireland,Other contract level,2017/18,2725
Total,Total,Northern Ireland,Other senior academic,2017/18,130
Total,Total,Northern Ireland,Professor,2017/18,315
Total,Total,Northern Ireland,Total,2017/18,3170
Total,Total,Scotland,Other contract level,2017/18,19935
Total,Total,Scotland,Other senior academic,2017/18,550
Total,Total,Scotland,Professor,2017/18,2350
Total,Total,Scotland,Total,2017/18,22840
Total,Total,Wales,Other contract level,2017/18,8810
Total,Total,Wales,Other senior academic,2017/18,320
Total,Total,Wales,Professor,2017/18,1125
Total,Total,Wales,Total,2017/18,10255
Total,Total,All,Other contract level,2017/18,184860
Total,Total,All,Other senior academic,2017/18,6175
Total,Total,All,Professor,2017/18,20940
Total,Total,All,Total,2017/18,211980
Total,Total,England,Other contract level,2018/19,156960
Total,Total,England,Other senior academic,2018/19,5120
Total,Total,England,Professor,2018/19,17815
Total,Total,England,Total,2018/19,179895
Total,Total,Northern Ireland,Other contract level,2018/19,2825
Total,Total,Northern Ireland,Other senior academic,2018/19,180
Total,Total,Northern Ireland,Professor,2018/19,325
Total,Total,Northern Ireland,Total,2018/19,3325
Total,Total,Scotland,Other contract level,2018/19,20630
Total,Total,Scotland,Other senior academic,2018/19,525
Total,Total,Scotland,Professor,2018/19,2425
Total,Total,Scotland,Total,2018/19,23580
Total,Total,Wales,Other contract level,2018/19,8945
Total,Total,Wales,Other senior academic,2018/19,360
Total,Total,Wales,Professor,2018/19,955
